Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score
2016-06-14,17710.77,17733.92,17595.79,17674.82,17674.82,93740000.0,-0.003251660230266684,-0.6553627847219876
2016-06-15,17703.65,17762.96,17629.01,17640.17,17640.17,94130000.0,-0.001960416004236576,-0.8378507870002707
2016-06-16,17602.23,17754.91,17471.29,17733.1,17733.1,91950000.0,0.005268089819996158,-0.28918253710779873
2016-06-17,17733.44,17733.44,17602.78,17675.16,17675.16,248680000.0,-0.003267336224348716,-0.643618139618419
2016-06-20,17736.87,17946.36,17736.87,17804.87,17804.87,99380000.0,0.0073385474304050735,0.11690505241315839
2016-06-21,17827.33,17877.84,17799.8,17829.73,17829.73,85130000.0,0.0013962472065227605,0.2367523754635918
2016-06-22,17832.67,17920.16,17770.36,17780.83,17780.83,89440000.0,-0.002742610235825116,-0.08553194799803368
2016-06-23,17844.11,18011.07,17844.11,18011.07,18011.07,98070000.0,0.012948776856873234,1.289760034742867
2016-06-24,17946.63,17946.63,17356.34,17400.75,17400.75,239000000.0,-0.033885826883133574,-2.331176183249839
2016-06-27,17355.21,17355.21,17063.08,17140.24,17140.24,138740000.0,-0.014971193770383362,-3.342046443692535
2016-06-28,17190.51,17409.72,17190.51,17409.72,17409.72,112190000.0,0.015722066902213783,-1.8337867872436988
2016-06-29,17456.02,17704.51,17456.02,17694.68,17694.68,106380000.0,0.01636786806450652,-0.37481158442594364
2016-06-30,17712.76,17930.61,17711.8,17929.99,17929.99,133030000.0,0.013298347299866453,0.8310053892337039
2016-07-01,17924.24,18002.38,17916.91,17949.37,17949.37,82160000.0,0.0010808706530229806,0.9521908494795479
2016-07-05,17904.45,17904.45,17785.28,17840.62,17840.62,103650000.0,-0.006058708467205243,0.42725072648982415
2016-07-06,17807.47,17926.91,17713.45,17918.62,17918.62,93000000.0,0.0043720453661364456,0.8544975487335595
2016-07-07,17924.24,17984.95,17816.65,17895.88,17895.88,81570000.0,-0.0012690709440792425,0.752627376065697
2016-07-08,17971.22,18166.77,17971.22,18146.74,18146.74,93460000.0,0.01401775157187024,2.0350160444623846
2016-07-11,18161.53,18283.9,18161.53,18226.93,18226.93,80880000.0,0.004418975529489,2.3317059915048586
2016-07-12,18259.12,18371.95,18259.12,18347.67,18347.67,90170000.0,0.0066242642068630175,2.738084094803223
2016-07-13,18356.78,18390.16,18315.76,18372.12,18372.12,80920000.0,0.0013325942749133901,2.609010812811172
2016-07-14,18414.3,18537.57,18414.3,18506.41,18506.41,87050000.0,0.007309444963346623,2.869601053739425
2016-07-15,18508.88,18557.43,18471.62,18516.55,18516.55,123690000.0,0.0005479182618346456,2.6564203264946067
2016-07-18,18521.55,18556.13,18489.84,18533.05,18533.05,75540000.0,0.0008910947233691235,2.4922421836805824
2016-07-19,18503.12,18562.53,18495.11,18559.01,18559.01,85840000.0,0.0014007408386638165,2.3831424091342397
2016-07-20,18582.7,18622.01,18555.65,18595.03,18595.03,93230000.0,0.0019408362838320148,2.3163686391890845
2016-07-21,18589.96,18590.44,18469.67,18517.23,18517.23,86800000.0,-0.004183913658649563,1.9492465445760827
2016-07-22,18524.15,18571.3,18491.59,18570.85,18570.85,87710000.0,0.0028956814815175314,1.9834251548580324
2016-07-25,18554.49,18555.69,18452.62,18493.06,18493.06,76810000.0,-0.004188822805633374,1.6764944377378512
2016-07-26,18497.37,18522.47,18387.22,18473.75,18473.75,85370000.0,-0.0010441754906976852,1.5465996879265815
2016-07-27,18473.27,18542.39,18430.94,18472.17,18472.17,111370000.0,-8.552676094464307e-05,1.4735277771301647
2016-07-28,18461.01,18483.26,18368.82,18456.35,18456.35,85750000.0,-0.000856423473798662,1.3720227721910825
2016-07-29,18442.52,18466.55,18371.12,18432.24,18432.24,111550000.0,-0.001306325465219138,1.2546607437139574
2016-08-01,18434.5,18467.03,18355.75,18404.51,18404.51,83470000.0,-0.0015044291958006273,1.1363721285831485
2016-08-02,18401.15,18403.65,18247.79,18313.77,18313.77,89680000.0,-0.004930313276473974,0.8606561305258471
2016-08-03,18313.08,18355.0,18283.23,18355.0,18355.0,78550000.0,0.00225131144488544,0.9368013662147632
2016-08-04,18351.43,18397.87,18325.17,18352.05,18352.05,64500000.0,-0.00016071915009541193,0.8945054040032798
2016-08-05,18402.8,18543.53,18402.8,18543.53,18543.53,92420000.0,0.010433711765170717,1.3695951329827587
2016-08-08,18541.89,18569.31,18502.03,18529.29,18529.29,71810000.0,-0.0007679228280698114,1.2768428258166975
2016-08-09,18538.05,18585.32,18507.75,18533.05,18533.05,60090000.0,0.00020292196840787646,1.236139476839134
2016-08-10,18541.48,18561.75,18468.78,18495.66,18495.66,62780000.0,-0.0020174768858876035,1.092024593930124
2016-08-11,18519.08,18638.34,18519.08,18613.52,18613.52,71470000.0,0.0063723057192877075,1.3495085744936468
2016-08-12,18595.65,18606.06,18535.86,18576.47,18576.47,61580000.0,-0.001990488634068144,1.2022134822138306
2016-08-15,18588.59,18722.61,18559.93,18636.05,18636.05,62350000.0,0.003207283192124155,1.303009202823395
2016-08-16,18614.48,18614.86,18550.65,18552.02,18552.02,67570000.0,-0.0045090027124846666,1.0437559797516072
2016-08-17,18537.09,18582.35,18468.68,18573.94,18573.94,71000000.0,0.0011815424951029385,1.0585892889604964
2016-08-18,18566.54,18600.82,18533.29,18597.7,18597.7,70740000.0,0.0012792116266124864,1.0777669454030194
2016-08-19,18585.17,18585.17,18491.24,18552.57,18552.57,93170000.0,-0.0024266441549224416,0.9276109006572817
2016-08-22,18535.86,18570.92,18466.86,18529.42,18529.42,73450000.0,-0.0012478055600922966,0.8389556202614075
2016-08-23,18568.94,18631.6,18545.52,18547.3,18547.3,73990000.0,0.0009649519520849026,0.8530654335858946
2016-08-24,18537.5,18539.15,18448.27,18481.48,18481.48,72270000.0,-0.0035487645101982546,0.6594743702157628
2016-08-25,18471.21,18497.68,18431.46,18448.41,18448.41,64480000.0,-0.0017893588608703936,0.5478681565811165
2016-08-26,18467.92,18572.09,18335.34,18395.4,18395.4,78730000.0,-0.0028734183596309526,0.38415096887873323
2016-08-29,18421.29,18523.09,18419.92,18502.99,18502.99,64480000.0,0.005848744794894278,0.6352643416381264
2016-08-30,18491.28,18514.29,18408.52,18454.3,18454.3,68920000.0,-0.002631466589994469,0.47705561809422015
2016-08-31,18436.7,18439.68,18333.56,18400.88,18400.88,98250000.0,-0.0028947183041350133,0.30203228532683596
2016-09-01,18396.57,18430.05,18295.48,18419.3,18419.3,74780000.0,0.001001039080739563,0.326202225018166
2016-09-02,18466.01,18544.76,18439.1,18491.96,18491.96,74350000.0,0.003944775317194393,0.5043206422436001
2016-09-06,18493.4,18551.54,18450.32,18538.12,18538.12,83710000.0,0.0024962199788447492,0.6079956972922255
2016-09-07,18527.71,18536.89,18474.77,18526.14,18526.14,67570000.0,-0.0006462359721481903,0.5468025709923914
2016-09-08,18486.69,18506.24,18446.69,18479.91,18479.91,79060000.0,-0.0024953929960584986,0.3784629452153144
2016-09-09,18404.17,18404.17,18085.45,18085.45,18085.45,120670000.0,-0.021345342049825966,-1.128790361843742
2016-09-12,18028.95,18358.69,17994.84,18325.07,18325.07,103260000.0,0.013249324733418222,-0.32809815898376976
2016-09-13,18262.99,18262.99,18028.06,18066.75,18066.75,102830000.0,-0.014096535511187613,-1.6518701108403426
2016-09-14,18073.39,18163.48,17992.21,18034.77,18034.77,103360000.0,-0.0017701025364273981,-1.8566449384138888
2016-09-15,18024.91,18250.11,18015.49,18212.48,18212.48,99550000.0,0.0098537436296664,-1.041056037412727
2016-09-16,18217.21,18217.21,18070.21,18123.8,18123.8,278510000.0,-0.004869188600344354,-1.642052495665728
2016-09-19,18154.82,18254.88,18093.05,18120.17,18120.17,78090000.0,-0.0002002891225902914,-1.773780840801907
2016-09-20,18175.36,18227.21,18128.8,18129.96,18129.96,72450000.0,0.0005402819068474063,-1.8689509228370087
2016-09-21,18164.96,18307.43,18121.57,18293.7,18293.7,94090000.0,0.009031459528868302,-0.8748195070229707
2016-09-22,18343.76,18449.88,18343.76,18392.46,18392.46,73030000.0,0.00539857983896086,-0.2612779636882281
2016-09-23,18377.36,18383.76,18254.84,18261.45,18261.45,87170000.0,-0.007123027588479158,-1.101388807724671
2016-09-26,18217.76,18217.76,18083.32,18094.83,18094.83,95510000.0,-0.009124138554167383,-2.061438532475593
2016-09-27,18099.21,18238.1,18052.16,18228.3,18228.3,84130000.0,0.007376140035579182,-1.1815260223123585
2016-09-28,18240.22,18349.86,18179.34,18339.24,18339.24,97650000.0,0.006086140781093263,-0.4768754490913914
2016-09-29,18322.88,18366.23,18091.64,18143.45,18143.45,95880000.0,-0.010676014927554323,-1.6052635918500395
2016-09-30,18181.8,18369.62,18181.8,18308.15,18308.15,135470000.0,0.009077656123835265,-0.5831958821206643
2016-10-03,18279.6,18279.8,18203.75,18253.85,18253.85,68520000.0,-0.002965892239248813,-0.878356218448918
2016-10-04,18267.68,18313.77,18116.26,18168.45,18168.45,79710000.0,-0.004678465090925954,-1.341756596629666
2016-10-05,18205.5,18315.82,18205.5,18281.03,18281.03,76190000.0,0.006196455944232904,-0.6339891980020702
2016-10-06,18280.42,18288.12,18162.97,18268.5,18268.5,78660000.0,-0.0006854099577540129,-0.6836540657622312
2016-10-07,18295.35,18319.73,18149.35,18240.49,18240.49,82680000.0,-0.0015332402769794307,-0.8236277333413154
2016-10-10,18282.95,18399.96,18282.95,18329.04,18329.04,72110000.0,0.004854584498552361,-0.2714337025433669
2016-10-11,18308.43,18312.33,18061.96,18128.66,18128.66,88610000.0,-0.010932378346056315,-1.4237260356824302
